SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J002753.87+011216.7,6.97444,1.20464,0.074,11.10(0.10),15.936(0.004),15.578(0.003),19.81(0.02),21.12(0.06),-1.78(0.20) 
J002834.03+003800.4,7.14179,0.63347,0.116,11.05(0.15),16.900(0.006),16.555(0.005),24.06(0.18),22.16(0.10),-2.45(0.22) 
J002851.91-003728.8,7.21633,-0.62470,0.094,11.12(0.21),16.372(0.005),15.978(0.004),20.51(0.03),20.26(0.04),-1.69(0.19) 
J002903.13-003645.8,7.26307,-0.61274,0.131,11.04(0.13),17.326(0.007),16.904(0.006),22.80(0.12),22.06(0.11),-2.12(0.21) 
J002916.63-001327.7,7.31930,-0.22437,0.130,11.07(0.14),17.112(0.007),16.727(0.006),23.35(0.15),23.08(0.20),-2.52(0.22) 
J002923.18-005737.7,7.34661,-0.96048,0.147,11.25(0.12),17.069(0.007),16.699(0.006),21.37(0.07),20.75(0.06),-1.68(0.19) 
J002928.49-005928.7,7.36871,-0.99132,0.147,11.39(0.12),16.776(0.006),16.378(0.005),20.60(0.05),20.97(0.07),-1.67(0.19) 
J003001.65+004605.1,7.50687,0.76811,0.150,11.17(0.12),17.457(0.008),17.046(0.007),24.90(0.35),23.55(0.30),-2.75(0.22) 
J003059.54-004312.8,7.74807,-0.72025,0.118,11.21(0.13),16.657(0.006),16.244(0.005),21.63(0.08),20.89(0.07),-1.92(0.20) 
J003101.45+001405.1,7.75604,0.23476,0.114,11.14(0.12),17.014(0.006),16.581(0.005),23.44(0.15),23.06(0.21),-2.58(0.22) 
J003119.78+011515.8,7.83243,1.25440,0.147,11.32(0.09),17.181(0.007),16.749(0.006),23.48(0.15),21.71(0.10),-2.18(0.21) 
J003226.17+010205.6,8.10904,1.03490,0.134,11.43(0.10),16.924(0.006),16.506(0.005),23.81(0.17),99.00(99.00),-3.07(0.22) 
J003422.97+001633.1,8.59572,0.27589,0.056,11.27(0.10),15.048(0.003),14.635(0.002),20.70(0.04),20.60(0.04),-2.32(0.21) 
J003426.60+002120.3,8.61086,0.35566,0.134,11.17(0.11),17.085(0.007),16.686(0.006),22.19(0.09),21.89(0.10),-2.07(0.21) 
J003713.27+004756.9,9.30530,0.79917,0.121,11.07(0.13),16.766(0.006),16.404(0.005),21.97(0.07),21.91(0.12),-2.14(0.21) 
J003716.79+004923.2,9.32000,0.82315,0.121,11.17(0.16),16.722(0.006),16.279(0.005),21.70(0.06),20.98(0.07),-1.94(0.20) 
J003755.13+010644.2,9.47972,1.11230,0.150,11.39(0.14),17.153(0.007),16.729(0.006),20.99(0.04),20.39(0.04),-1.51(0.18) 
J003849.15+005021.4,9.70484,0.83930,0.112,11.01(0.12),16.945(0.006),16.565(0.005),22.93(0.12),99.00(99.00),-2.71(0.22) 
J003849.59+000459.4,9.70667,0.08316,0.071,11.10(0.10),15.781(0.004),15.393(0.003),21.95(0.07),20.98(0.06),-2.31(0.21) 
J003902.56-000923.3,9.76069,-0.15649,0.081,11.10(0.15),16.086(0.004),15.716(0.004),23.23(0.14),99.00(99.00),-3.19(0.22) 
J003903.91+005058.2,9.76632,0.84954,0.124,11.30(0.10),16.663(0.005),16.247(0.005),22.19(0.08),23.13(0.24),-2.41(0.21) 
J003922.77-000206.1,9.84487,-0.03505,0.112,11.35(0.18),16.147(0.004),15.723(0.004),21.08(0.05),21.85(0.12),-2.15(0.21) 
J003959.87+010354.8,9.99948,1.06523,0.059,11.50(0.09),14.493(0.002),14.201(0.002),22.04(0.08),22.47(0.23),-3.14(0.22) 
J004028.17+005242.1,10.11738,0.87838,0.126,11.09(0.12),17.058(0.007),16.706(0.006),22.03(0.07),22.78(0.24),-0.30(99.00) 
J010124.84-004631.0,15.35351,-0.77529,0.122,11.04(0.11),17.117(0.007),16.691(0.006),21.31(0.06),20.91(0.06),-1.69(0.19) 
J010127.80+000045.2,15.36586,0.01259,0.108,11.25(0.13),16.585(0.005),16.156(0.004),21.26(0.05),21.18(0.07),-1.94(0.20) 
J010215.15+010858.6,15.56314,1.14964,0.144,11.05(0.12),17.541(0.008),17.099(0.007),22.85(0.12),99.00(99.00),-2.44(0.21) 
J010219.99+002133.2,15.58331,0.35925,0.111,11.22(0.10),16.686(0.005),16.242(0.005),22.48(0.09),22.39(0.13),-2.38(0.21) 
J010337.77-011202.0,15.90740,-1.20056,0.108,11.23(0.19),16.631(0.005),16.240(0.005),22.32(0.11),23.28(0.19),-2.47(0.22) 
J010419.32-004012.3,16.08053,-0.67008,0.137,11.44(0.11),16.602(0.005),16.137(0.004),23.16(0.16),22.67(0.13),-2.62(0.22) 
J010606.75+002905.9,16.52812,0.48502,0.145,11.21(0.15),16.674(0.005),16.289(0.005),22.08(0.08),21.71(0.07),-2.17(0.21) 
J010611.53-005359.5,16.54802,-0.89986,0.067,11.15(0.19),15.464(0.003),15.083(0.003),19.85(0.03),19.49(0.03),-1.77(0.20) 
J010615.10+003429.5,16.56293,0.57491,0.093,11.02(0.10),16.780(0.006),16.343(0.005),23.86(0.19),23.57(0.18),-2.86(0.22) 
J010620.50-005407.6,16.58541,-0.90211,0.138,11.03(0.16),17.331(0.007),16.875(0.006),22.13(0.09),21.94(0.09),-1.97(0.21) 
J010626.68+001605.6,16.61116,0.26825,0.136,11.10(0.11),17.215(0.007),16.767(0.006),23.51(0.16),23.76(0.20),-2.64(0.22) 
J010704.82-011420.0,16.77011,-1.23889,0.128,11.12(0.14),17.363(0.008),16.820(0.006),24.57(0.34),99.00(99.00),-3.22(0.22) 
