SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J102455.42-002754.5,156.23097,-0.46512,0.131,11.35(0.16),17.100(0.007),16.588(0.005),20.96(0.05),20.67(0.04),-1.60(0.18) 
J102501.74+033035.2,156.25726,3.50981,0.145,11.63(0.11),16.640(0.005),16.162(0.004),21.92(0.08),22.09(0.09),-2.22(0.21) 
J102503.34+022139.2,156.26397,2.36089,0.114,11.17(0.15),17.126(0.007),16.737(0.006),23.12(0.13),23.37(0.16),-2.51(0.22) 
J102507.55+042004.4,156.28148,4.33456,0.144,11.10(0.13),17.567(0.008),17.110(0.007),23.99(0.22),23.78(0.21),-2.62(0.22) 
J102513.09-003051.2,156.30460,-0.51422,0.111,11.35(0.11),16.418(0.005),15.966(0.004),20.28(0.03),20.08(0.03),-1.60(0.19) 
J102515.23+013830.8,156.31350,1.64189,0.092,11.18(0.10),16.194(0.004),15.768(0.004),22.11(0.08),22.88(0.11),-2.54(0.22) 
J102553.55+043021.4,156.47314,4.50597,0.125,11.33(0.11),16.480(0.005),16.015(0.004),21.89(0.08),21.89(0.08),-2.25(0.21) 
J102618.11-004005.0,156.57549,-0.66805,0.112,11.35(0.11),16.492(0.005),16.043(0.004),20.29(0.03),19.96(0.03),-1.55(0.18) 
J102621.46+002917.6,156.58947,0.48824,0.098,11.63(0.09),15.316(0.003),14.857(0.002),19.29(0.02),18.96(0.02),-1.63(0.19) 
J102626.72+050831.5,156.61137,5.14210,0.141,11.38(0.10),16.770(0.006),16.357(0.005),22.54(0.10),21.36(0.08),-2.13(0.21) 
J102638.72+051916.4,156.66136,5.32125,0.111,11.04(0.16),17.098(0.007),16.700(0.006),24.16(0.24),99.00(99.00),-3.14(0.22) 
J102639.67+013143.3,156.66534,1.52871,0.102,11.27(0.13),16.352(0.005),15.967(0.004),20.52(0.04),20.17(0.03),-1.68(0.19) 
J102643.34+035443.2,156.68062,3.91202,0.145,11.43(0.10),16.820(0.006),16.380(0.005),22.64(0.12),22.35(0.10),-2.36(0.21) 
J102654.91+000324.0,156.72883,0.05668,0.098,11.08(0.11),16.848(0.006),16.497(0.005),23.36(0.16),28.84(1.52),-2.91(0.22) 
J102701.02+010419.6,156.75428,1.07214,0.097,11.07(0.13),17.025(0.006),16.631(0.005),24.46(0.22),22.00(0.07),-2.39(0.21) 
J102703.60+004159.5,156.76504,0.69989,0.106,11.49(0.11),15.937(0.004),15.483(0.003),20.62(0.04),20.45(0.04),-1.93(0.20) 
J102706.77+013323.8,156.77820,1.55663,0.148,11.48(0.13),16.893(0.006),16.449(0.005),22.12(0.08),20.94(0.05),-1.92(0.20) 
J102708.13+014359.5,156.78390,1.73320,0.149,11.08(0.11),17.365(0.008),16.946(0.006),22.20(0.09),24.27(0.26),-2.20(0.21) 
J102744.15-000732.8,156.93400,-0.12578,0.115,11.16(0.12),17.008(0.006),16.574(0.005),22.43(0.10),21.95(0.08),-2.16(0.21) 
J102815.72+022808.1,157.06557,2.46895,0.150,11.16(0.14),17.441(0.008),17.019(0.006),22.63(0.11),20.49(0.04),-1.62(0.19) 
J102847.16+040300.6,157.19651,4.05018,0.099,11.24(0.10),16.242(0.004),15.839(0.004),21.14(0.05),20.87(0.05),-1.99(0.21) 
J102848.18-003641.3,157.20079,-0.61147,0.115,11.13(0.11),17.258(0.007),16.796(0.006),22.69(0.11),23.63(0.19),-2.37(0.21) 
J102922.93+042001.8,157.34558,4.33386,0.104,11.07(0.14),16.613(0.005),16.205(0.004),21.43(0.06),21.13(0.05),-1.95(0.20) 
J102934.74+003736.9,157.39476,0.62695,0.108,11.23(0.12),16.770(0.006),16.292(0.005),22.49(0.10),22.57(0.10),-2.39(0.21) 
J102943.23-000756.5,157.43014,-0.13236,0.118,11.13(0.20),16.642(0.005),16.269(0.005),20.16(0.03),20.30(0.03),-1.51(0.18) 
J102943.30+040119.3,157.43045,4.02207,0.115,11.22(0.11),16.671(0.005),16.233(0.004),22.52(0.12),22.37(0.11),-2.40(0.21) 
J103031.97+041231.7,157.63325,4.20884,0.143,11.20(0.13),17.245(0.007),16.785(0.006),23.14(0.16),23.22(0.17),-2.45(0.22) 
J103038.59+013425.5,157.66079,1.57374,0.149,11.02(0.18),17.226(0.007),16.809(0.006),22.38(0.09),22.18(0.08),-2.11(0.21) 
J103043.14+002028.4,157.67976,0.34125,0.145,11.17(0.14),17.269(0.007),16.815(0.006),21.83(0.07),22.39(0.09),-1.99(0.21) 
J103053.89+001907.9,157.72455,0.31888,0.144,11.35(0.14),17.056(0.007),16.601(0.005),21.23(0.05),20.84(0.04),-1.69(0.19) 
J103103.29+044039.7,157.76374,4.67774,0.145,11.03(0.13),17.570(0.008),17.122(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J103125.58-004249.1,157.85659,-0.71363,0.117,11.14(0.13),17.294(0.007),16.821(0.006),24.93(0.37),23.59(0.16),-2.85(0.22) 
J103200.39+030443.6,158.00165,3.07881,0.143,11.11(0.18),17.292(0.007),16.911(0.006),99.00(99.00),22.93(0.14),-2.71(0.22) 
J103232.13+022843.2,158.13388,2.47867,0.147,11.03(0.13),17.358(0.008),16.998(0.006),23.10(0.13),23.23(0.16),-2.38(0.21) 
J103237.37+024502.0,158.15573,2.75058,0.126,11.19(0.11),16.910(0.006),16.515(0.005),22.56(0.10),22.00(0.08),-2.23(0.21) 
J103241.14+024159.1,158.17142,2.69979,0.127,11.36(0.13),16.433(0.005),16.058(0.004),23.65(0.16),23.20(0.14),-2.87(0.22) 
J103241.87+024135.6,158.17451,2.69322,0.125,11.18(0.13),16.666(0.005),16.322(0.005),21.58(0.06),21.24(0.05),-1.97(0.20) 
J103312.14+045014.3,158.30063,4.83731,0.141,11.37(0.11),17.030(0.006),16.578(0.005),20.82(0.05),20.62(0.04),-1.58(0.18) 
J103312.73-002726.9,158.30305,-0.45747,0.117,11.31(0.09),16.590(0.005),16.118(0.004),23.38(0.15),24.98(0.35),-2.96(0.22) 
J103314.18+030637.9,158.30908,3.11054,0.123,11.22(0.16),16.992(0.006),16.606(0.005),21.01(0.05),20.58(0.04),-1.61(0.19) 
J103316.22+040010.0,158.31762,4.00279,0.085,11.34(0.12),15.864(0.004),15.467(0.003),22.74(0.11),22.43(0.11),-2.77(0.22) 
J103321.38+010312.2,158.33909,1.05340,0.097,11.07(0.11),16.635(0.005),16.211(0.004),21.90(0.07),21.74(0.07),-2.16(0.21) 
J103325.43+033521.1,158.35599,3.58922,0.124,11.84(0.12),16.077(0.004),15.641(0.003),21.93(0.08),21.40(0.06),-2.32(0.21) 
J103338.21+035911.4,158.40920,3.98653,0.142,11.15(0.14),17.268(0.007),16.828(0.006),22.17(0.09),21.68(0.07),-1.96(0.20) 
J103350.11+032945.8,158.45880,3.49608,0.112,11.03(0.13),17.339(0.007),16.950(0.006),23.22(0.15),23.54(0.18),-2.47(0.22) 
J103350.41+015955.5,158.46007,1.99877,0.127,11.01(0.13),17.254(0.007),16.843(0.006),23.53(0.15),23.86(0.22),-2.63(0.22) 
J103354.26+041907.1,158.47609,4.31864,0.136,11.07(0.13),17.386(0.008),16.972(0.006),22.33(0.09),23.97(0.22),-2.22(0.21) 
J103354.91+004450.6,158.47882,0.74743,0.132,11.28(0.10),17.202(0.007),16.756(0.006),22.69(0.10),21.78(0.07),-2.10(0.21) 
J103355.42+013320.9,158.48095,1.55582,0.086,11.19(0.11),16.090(0.004),15.664(0.003),21.92(0.08),21.20(0.06),-2.27(0.21) 
J103358.68+003638.0,158.49453,0.61056,0.106,11.17(0.14),16.763(0.006),16.314(0.005),22.05(0.08),21.04(0.05),-1.99(0.21) 
J103409.06+003641.8,158.53777,0.61164,0.109,11.03(0.15),16.667(0.005),16.276(0.005),21.39(0.05),21.45(0.06),-1.98(0.21) 
J103418.32+042314.2,158.57636,4.38731,0.141,11.21(0.13),17.208(0.007),16.752(0.006),22.34(0.09),22.26(0.10),-2.13(0.21) 
J103500.92+041720.7,158.75385,4.28909,0.134,11.37(0.14),17.030(0.007),16.574(0.005),21.38(0.06),21.15(0.05),-1.79(0.20) 
J103520.84+012846.8,158.83683,1.47970,0.129,11.66(0.11),15.928(0.004),15.498(0.003),21.76(0.07),21.56(0.07),-2.38(0.21) 
J103524.42+035727.7,158.85177,3.95770,0.134,11.24(0.13),17.356(0.008),16.879(0.006),23.46(0.17),22.74(0.10),-2.39(0.21) 
J103530.91+035408.2,158.87880,3.90228,0.124,11.69(0.15),16.355(0.005),15.880(0.004),20.91(0.05),20.19(0.03),-1.78(0.20) 
J103535.72+045708.0,158.89887,4.95225,0.096,11.30(0.11),16.044(0.004),15.622(0.003),19.99(0.03),19.40(0.02),-1.56(0.18) 
J103556.30+015333.4,158.98460,1.89265,0.124,11.29(0.11),16.786(0.006),16.374(0.005),21.87(0.08),22.65(0.12),-2.21(0.21) 
J103606.56-003913.6,159.02736,-0.65379,0.115,11.14(0.11),16.899(0.006),16.468(0.005),24.03(0.19),24.23(0.23),-2.96(0.22) 
J103625.70+010202.3,159.10709,1.03398,0.118,11.73(0.12),15.361(0.003),14.918(0.002),19.11(0.02),18.81(0.02),-1.54(0.18) 
J103643.81+031636.9,159.18257,3.27692,0.144,11.10(0.11),17.442(0.008),17.011(0.006),24.17(0.24),22.79(0.12),-2.46(0.22) 
J103713.31+000845.5,159.30548,0.14600,0.081,11.06(0.07),17.722(0.009),17.329(0.007),21.67(0.06),21.62(0.06),-1.65(0.19) 
J103716.87+010157.3,159.32031,1.03261,0.118,11.32(0.10),16.649(0.005),16.198(0.004),22.65(0.11),22.88(0.13),-2.52(0.22) 
J103719.40+012452.4,159.33086,1.41455,0.107,11.18(0.19),16.192(0.004),15.788(0.004),21.42(0.06),21.29(0.06),-2.15(0.21) 
J103730.59+022636.7,159.37744,2.44357,0.112,11.14(0.13),16.902(0.006),16.500(0.005),24.01(0.20),23.46(0.18),-2.81(0.22) 
J103731.79+023928.3,159.38250,2.65790,0.132,11.24(0.19),17.191(0.007),16.763(0.006),20.47(0.03),22.05(0.09),-1.57(0.18) 
J103736.10+023915.2,159.40045,2.65426,0.083,11.30(0.10),15.961(0.004),15.582(0.003),20.06(0.03),19.82(0.03),-1.67(0.19) 
J103742.08-003321.9,159.42540,-0.55611,0.094,11.35(0.17),16.659(0.005),16.169(0.004),22.81(0.11),22.35(0.09),-2.47(0.22) 
J103806.47+033858.4,159.52697,3.64959,0.132,11.56(0.10),16.155(0.004),15.738(0.004),21.11(0.05),20.64(0.05),-1.98(0.21) 
J103816.82+020748.1,159.57011,2.13005,0.132,11.21(0.11),17.081(0.007),16.657(0.005),22.48(0.10),22.13(0.09),-2.18(0.21) 
J103817.46+015322.4,159.57277,1.88961,0.130,11.04(0.12),17.436(0.008),17.056(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J103829.31+005537.1,159.62214,0.92699,0.106,11.14(0.11),16.676(0.005),16.217(0.004),22.97(0.12),22.49(0.10),-2.51(0.22) 
J103830.07+031353.2,159.62534,3.23147,0.056,11.28(0.13),15.195(0.003),14.817(0.002),23.01(0.12),22.07(0.08),-3.00(0.22) 
J103833.17+034930.3,159.63825,3.82509,0.094,11.36(0.20),16.608(0.005),16.143(0.004),22.13(0.09),21.99(0.08),-2.27(0.21) 
J103840.24+002251.5,159.66770,0.38099,0.109,11.24(0.13),16.726(0.006),16.271(0.005),22.59(0.11),21.92(0.08),-2.30(0.21) 
J103847.75+013310.6,159.69897,1.55296,0.132,11.57(0.11),16.141(0.004),15.722(0.004),20.71(0.04),20.47(0.04),-1.87(0.20) 
J103848.60+014012.2,159.70254,1.67006,0.131,11.29(0.13),16.964(0.006),16.496(0.005),20.89(0.04),20.52(0.04),-1.60(0.18) 
J103851.59+011815.5,159.71501,1.30434,0.132,11.15(0.14),17.315(0.007),16.858(0.006),23.24(0.14),22.96(0.13),-2.41(0.21) 
J103856.32+034114.6,159.73468,3.68739,0.103,11.15(0.12),16.788(0.006),16.374(0.005),22.47(0.11),22.07(0.10),-2.28(0.21) 
J103857.99+011751.6,159.74166,1.29770,0.132,11.62(0.10),16.047(0.004),15.600(0.003),20.43(0.04),20.49(0.04),-1.85(0.20) 
J103903.77+052800.0,159.76573,5.46669,0.069,11.03(0.11),16.219(0.004),15.804(0.004),20.89(0.05),22.25(0.13),-2.10(0.21) 
J103905.68+051933.8,159.77368,5.32608,0.066,11.15(0.13),15.628(0.003),15.223(0.003),99.00(99.00),21.53(0.10),-2.83(0.22) 
J103910.01+004213.2,159.79173,0.70368,0.132,11.02(0.14),17.408(0.008),16.978(0.006),24.25(0.21),23.74(0.16),-2.72(0.22) 
J103913.86+011529.7,159.80781,1.25829,0.108,11.32(0.15),16.414(0.005),15.936(0.004),20.39(0.03),20.22(0.03),-1.66(0.19) 
J103920.83+034758.1,159.83683,3.79948,0.107,11.20(0.14),16.673(0.006),16.224(0.004),22.97(0.15),23.10(0.15),-2.62(0.22) 
J103921.96+010034.0,159.84152,1.00946,0.111,11.20(0.12),16.432(0.005),15.986(0.004),20.28(0.03),19.78(0.02),-1.54(0.18) 
J103923.90+040938.7,159.84963,4.16077,0.126,11.02(0.16),17.448(0.008),17.024(0.006),24.28(0.27),24.96(0.42),-2.90(0.22) 
J103928.84+040621.4,159.87017,4.10598,0.130,11.40(0.14),16.581(0.005),16.149(0.004),23.15(0.14),23.20(0.16),-2.71(0.22) 
J103936.75+024114.1,159.90318,2.68725,0.128,11.02(0.16),17.400(0.008),16.975(0.006),23.71(0.18),22.97(0.16),-2.46(0.22) 
J103937.30+044639.7,159.90545,4.77773,0.136,11.37(0.11),16.630(0.005),16.195(0.004),22.14(0.08),21.69(0.08),-2.20(0.21) 
J103940.84+023857.0,159.92018,2.64918,0.128,11.25(0.13),16.679(0.005),16.302(0.005),21.60(0.06),21.23(0.06),-1.97(0.21) 
J103944.63+010336.5,159.93600,1.06017,0.116,11.08(0.14),16.819(0.006),16.412(0.005),21.78(0.07),21.71(0.07),-2.05(0.21) 
J103947.52+023838.8,159.94802,2.64412,0.128,11.03(0.13),17.338(0.007),16.965(0.006),23.31(0.14),24.23(0.27),-2.58(0.22) 
J103952.32+032012.5,159.96804,3.33682,0.146,11.33(0.13),17.235(0.007),16.753(0.006),22.70(0.11),22.64(0.13),-2.27(0.21) 
J104004.81+004552.8,160.02005,0.76469,0.133,11.59(0.09),16.324(0.005),15.838(0.004),20.95(0.04),20.76(0.04),-1.91(0.20) 
J104023.44-004617.6,160.09769,-0.77158,0.138,11.31(0.09),17.076(0.007),16.617(0.005),23.29(0.15),23.28(0.16),-2.57(0.22) 
J104030.26+004335.4,160.12608,0.72650,0.133,11.01(0.15),17.465(0.008),16.991(0.006),22.53(0.10),22.92(0.13),-2.17(0.21) 
J104040.64+042249.1,160.16938,4.38034,0.083,11.00(0.13),16.187(0.004),15.797(0.004),22.67(0.10),21.93(0.08),-2.52(0.22) 
J104040.89-001904.1,160.17036,-0.31781,0.134,11.52(0.11),15.926(0.004),15.550(0.003),18.03(0.01),19.01(0.02),-1.08(0.10) 
J104059.81+043509.6,160.24921,4.58603,0.127,11.07(0.12),17.041(0.006),16.638(0.005),21.70(0.07),21.74(0.08),-1.95(0.20) 
J104108.02+021506.3,160.28346,2.25179,0.127,11.07(0.10),17.426(0.008),17.006(0.006),24.51(0.25),99.00(99.00),-3.14(0.22) 
J104114.59-005642.7,160.31080,-0.94523,0.135,11.18(0.10),17.297(0.007),16.830(0.006),23.20(0.15),22.96(0.13),-2.41(0.21) 
J104117.96+041623.3,160.32485,4.27320,0.108,11.06(0.16),17.007(0.006),16.550(0.005),22.24(0.08),20.91(0.04),-1.89(0.20) 
J104129.08-003800.0,160.37119,-0.63334,0.136,11.63(0.11),16.244(0.004),15.788(0.004),23.10(0.13),22.89(0.12),-2.79(0.22) 
J104131.94-002733.2,160.38313,-0.45925,0.137,11.68(0.12),16.170(0.004),15.717(0.004),22.72(0.11),22.29(0.09),-2.63(0.22) 
J104132.12-005036.9,160.38384,-0.84361,0.133,11.26(0.13),17.032(0.006),16.569(0.005),22.70(0.11),22.93(0.12),-2.38(0.21) 
J104133.96-002348.4,160.39149,-0.39679,0.137,11.02(0.14),17.480(0.008),17.045(0.006),99.00(99.00),24.14(0.22),-3.16(0.22) 
J104137.88-003835.3,160.40785,-0.64315,0.136,11.46(0.11),16.695(0.006),16.229(0.004),21.81(0.07),21.46(0.06),-2.07(0.21) 
J104141.78+001551.5,160.42410,0.26432,0.128,11.13(0.14),17.357(0.007),16.915(0.006),24.79(0.29),99.00(99.00),-3.30(0.22) 
J104144.53+014434.6,160.43558,1.74298,0.125,11.46(0.13),16.144(0.004),15.696(0.003),21.32(0.06),21.23(0.05),-2.14(0.21) 
J104209.17+015717.4,160.53821,1.95488,0.125,11.56(0.12),16.160(0.004),15.711(0.003),20.96(0.04),20.33(0.03),-1.89(0.20) 
J104210.10+022749.5,160.54208,2.46377,0.105,11.04(0.11),17.028(0.006),16.601(0.005),22.85(0.11),23.48(0.16),-2.49(0.22) 
J104210.25-003442.4,160.54273,-0.57847,0.130,11.29(0.12),17.025(0.006),16.592(0.005),23.65(0.17),24.19(0.23),-2.80(0.22) 
J104210.99-000712.9,160.54581,-0.12025,0.150,11.62(0.12),16.549(0.005),16.104(0.004),22.90(0.11),22.84(0.11),-2.61(0.22) 
J104212.46+024305.2,160.55193,2.71813,0.079,11.40(0.12),15.262(0.003),14.909(0.002),21.07(0.05),21.24(0.06),-2.42(0.21) 
J104215.87+012737.3,160.56617,1.46038,0.108,11.38(0.14),16.318(0.005),15.885(0.004),21.29(0.05),21.07(0.05),-2.03(0.21) 
J104218.54+000819.8,160.57727,0.13887,0.124,11.12(0.17),17.129(0.007),16.653(0.005),22.04(0.07),21.91(0.07),-2.03(0.21) 
J104219.86-004734.0,160.58276,-0.79279,0.136,11.13(0.11),17.454(0.008),17.008(0.006),22.72(0.10),23.11(0.13),-2.25(0.21) 
J104222.05-004820.5,160.59190,-0.80570,0.136,11.26(0.12),17.198(0.007),16.701(0.006),24.25(0.22),99.00(99.00),-3.15(0.22) 
J104224.19-000817.2,160.60083,-0.13811,0.138,11.77(0.09),16.012(0.004),15.583(0.003),23.04(0.12),22.84(0.11),-2.85(0.22) 
J104229.24+041343.4,160.62184,4.22876,0.126,11.08(0.12),17.292(0.007),16.835(0.006),22.48(0.10),22.67(0.12),-2.19(0.21) 
J104231.42+041452.7,160.63096,4.24800,0.127,11.30(0.12),16.521(0.005),16.254(0.004),18.54(0.01),20.97(0.05),-1.13(0.12) 
J104232.46+000735.0,160.63526,0.12640,0.126,11.23(0.14),17.011(0.006),16.512(0.005),22.28(0.09),23.06(0.13),-2.30(0.21) 
J104235.88+010029.9,160.64953,1.00832,0.121,11.28(0.12),16.649(0.005),16.185(0.004),22.00(0.08),21.75(0.07),-2.18(0.21) 
J104240.38-000934.0,160.66829,-0.15945,0.128,11.10(0.13),17.123(0.007),16.694(0.006),22.33(0.09),22.69(0.10),-2.21(0.21) 
J104244.27-001033.3,160.68452,-0.17593,0.144,11.40(0.11),16.884(0.006),16.434(0.005),21.96(0.08),22.07(0.08),-2.13(0.21) 
J104258.62+005548.1,160.74426,0.93006,0.122,11.28(0.11),16.820(0.006),16.399(0.005),21.88(0.07),22.75(0.10),-2.21(0.21) 
J104302.56+005418.2,160.76071,0.90508,0.126,11.72(0.11),15.602(0.003),15.154(0.003),20.53(0.03),18.14(0.01),-1.45(0.17) 
J104315.89+003335.6,160.81623,0.55991,0.127,11.02(0.11),17.571(0.008),17.186(0.007),99.00(99.00),99.00(99.00),nan(99.00) 
J104321.59+000637.2,160.83999,0.11035,0.128,11.36(0.12),16.616(0.005),16.147(0.004),22.47(0.10),22.90(0.12),-2.49(0.22) 
J104323.58+000319.7,160.84827,0.05550,0.127,11.03(0.13),17.495(0.008),17.039(0.006),23.70(0.17),99.00(99.00),-2.80(0.22) 
J104325.61+011721.8,160.85675,1.28940,0.098,11.14(0.12),16.807(0.006),16.380(0.005),99.00(99.00),22.25(0.08),-2.66(0.22) 
J104326.66+034207.1,160.86106,3.70200,0.127,11.62(0.13),16.234(0.004),15.786(0.004),20.87(0.04),20.13(0.03),-1.80(0.20) 
J104334.11+034053.0,160.89214,3.68140,0.127,11.15(0.11),17.114(0.007),16.684(0.005),22.19(0.08),21.99(0.08),-2.08(0.21) 
J104341.92+004520.3,160.92466,0.75566,0.117,11.13(0.14),17.018(0.006),16.586(0.005),23.24(0.13),22.47(0.09),-2.42(0.21) 
J104345.20+010137.3,160.93836,1.02705,0.116,11.00(0.13),17.257(0.007),16.857(0.006),22.48(0.09),22.65(0.10),-2.19(0.21) 
J104353.35+010028.8,160.97233,1.00801,0.116,11.50(0.09),15.950(0.004),15.509(0.003),21.85(0.07),20.46(0.04),-2.13(0.21) 
J104353.59+005041.7,160.97331,0.84493,0.116,11.35(0.12),16.362(0.005),15.918(0.004),21.08(0.05),20.63(0.04),-1.89(0.20) 
J104353.93+002739.6,160.97472,0.46101,0.100,11.00(0.13),16.572(0.005),16.202(0.004),21.61(0.06),20.27(0.03),-1.79(0.20) 
J104413.15+035048.1,161.05480,3.84671,0.144,11.28(0.11),17.273(0.007),16.791(0.006),22.98(0.12),22.72(0.12),-2.33(0.21) 
J104420.69+013533.2,161.08621,1.59259,0.112,11.24(0.16),17.074(0.007),16.562(0.005),23.19(0.14),23.67(0.20),-2.60(0.22) 
J104449.64-001500.6,161.20687,-0.25018,0.150,11.53(0.12),16.628(0.005),16.170(0.004),21.98(0.07),22.00(0.07),-2.23(0.21) 
J104455.21+032357.4,161.23006,3.39932,0.144,11.00(0.15),16.717(0.006),16.401(0.005),20.74(0.04),20.82(0.04),-1.69(0.19) 
J104456.24+005510.0,161.23437,0.91948,0.150,11.17(0.13),17.528(0.008),17.088(0.007),22.25(0.08),21.95(0.07),-1.92(0.20) 
J104457.98+002851.8,161.24161,0.48107,0.115,11.61(0.10),15.764(0.004),15.326(0.003),21.15(0.05),21.16(0.06),-2.24(0.21) 
J104502.55+044745.8,161.26065,4.79607,0.108,11.24(0.11),16.123(0.004),15.667(0.003),22.82(0.11),22.96(0.12),-2.78(0.22) 
J104509.49+013252.8,161.28959,1.54802,0.119,11.58(0.15),16.046(0.004),15.565(0.003),21.16(0.05),21.01(0.05),-2.11(0.21) 
J104510.74+020541.6,161.29477,2.09490,0.150,11.09(0.14),17.569(0.008),17.143(0.007),22.90(0.12),22.93(0.13),-2.22(0.21) 
J104519.37-000744.9,161.33071,-0.12915,0.127,11.07(0.12),17.244(0.007),16.779(0.006),22.18(0.09),22.22(0.08),-2.07(0.21) 
J104541.43-003109.2,161.42268,-0.51924,0.085,11.18(0.12),16.023(0.004),15.575(0.003),20.76(0.04),20.52(0.03),-1.94(0.20) 
J104550.20+002734.6,161.45919,0.45963,0.077,11.42(0.10),15.362(0.003),14.892(0.002),21.00(0.04),20.72(0.04),-2.29(0.21) 
J104551.62+012551.9,161.46511,1.43110,0.105,11.67(0.12),15.377(0.003),14.925(0.002),20.28(0.03),19.81(0.03),-1.96(0.20) 
J104558.55+024708.1,161.49395,2.78559,0.142,11.47(0.13),16.471(0.005),16.012(0.004),21.45(0.06),21.19(0.05),-2.03(0.21) 
J104603.02+012531.6,161.51260,1.42547,0.107,11.28(0.13),16.298(0.005),15.855(0.004),22.37(0.09),21.48(0.06),-2.33(0.21) 
J104607.56+024443.8,161.53150,2.74553,0.143,11.21(0.10),17.700(0.009),17.246(0.007),25.71(0.41),25.06(0.36),-3.16(0.22) 
J104614.47+044840.8,161.56032,4.81135,0.099,11.17(0.11),16.228(0.004),15.817(0.004),21.04(0.05),21.69(0.06),-2.09(0.21) 
J104634.60+040645.1,161.64417,4.11255,0.072,11.40(0.14),15.374(0.003),14.910(0.002),20.43(0.03),20.06(0.03),-2.05(0.21) 
J104650.17+012758.4,161.70906,1.46625,0.106,11.14(0.15),16.898(0.006),16.402(0.005),23.29(0.15),23.48(0.16),-2.67(0.22) 
J104656.62+013551.6,161.73594,1.59768,0.107,11.09(0.12),16.899(0.006),16.436(0.005),23.81(0.19),24.93(0.34),-2.98(0.22) 
J104701.36+015654.6,161.75570,1.94853,0.124,11.14(0.15),16.474(0.005),16.092(0.004),20.16(0.03),19.88(0.03),-1.51(0.18) 
J104701.71+013048.7,161.75712,1.51352,0.124,11.12(0.16),17.519(0.008),17.035(0.006),23.06(0.15),23.40(0.16),-2.35(0.21) 
J104706.22+040456.3,161.77595,4.08236,0.124,11.00(0.14),17.314(0.007),16.850(0.006),22.45(0.09),22.65(0.11),-2.17(0.21) 
J104717.76+031224.3,161.82401,3.20676,0.148,11.13(0.11),17.414(0.008),17.015(0.006),22.72(0.11),22.44(0.10),-2.15(0.21) 
J104741.77-001133.9,161.92408,-0.19277,0.128,11.10(0.13),16.998(0.006),16.540(0.005),21.29(0.05),21.35(0.05),-1.82(0.20) 
J104759.36+010016.9,161.99736,1.00469,0.105,11.08(0.12),16.892(0.006),16.423(0.005),23.31(0.16),23.01(0.14),-2.60(0.22) 
J104808.89+045755.6,162.03705,4.96545,0.072,11.31(0.12),15.166(0.003),14.710(0.002),22.97(0.12),23.43(0.15),-3.27(0.22) 
J104816.79+010036.9,162.07001,1.01026,0.106,11.13(0.13),16.735(0.006),16.279(0.005),21.83(0.07),21.82(0.07),-2.12(0.21) 
J104821.28+012600.7,162.08869,1.43352,0.067,11.05(0.12),15.818(0.004),15.414(0.003),20.97(0.04),20.82(0.04),-2.11(0.21) 
J104822.74+031939.5,162.09475,3.32764,0.148,11.20(0.12),17.388(0.008),16.954(0.006),24.18(0.22),23.47(0.17),-2.66(0.22) 
J104835.25+031807.7,162.14688,3.30213,0.148,11.17(0.14),17.544(0.008),17.093(0.007),23.35(0.14),22.88(0.13),-2.32(0.21) 
J104843.54+003649.0,162.18149,0.61362,0.112,11.61(0.14),16.237(0.004),15.734(0.004),20.45(0.03),20.21(0.03),-1.74(0.19) 
J104907.77+010149.7,162.28245,1.03050,0.106,11.32(0.11),16.307(0.005),15.845(0.004),24.62(0.25),24.65(0.29),-3.41(0.22) 
J104913.43+025119.8,162.30599,2.85553,0.147,11.26(0.12),17.128(0.007),16.716(0.006),21.85(0.07),21.35(0.06),-1.88(0.20) 
J104914.08+005945.2,162.30870,0.99592,0.106,11.63(0.10),15.612(0.003),15.150(0.003),21.51(0.06),20.52(0.04),-2.24(0.21) 
J104919.59+033639.1,162.33162,3.61088,0.147,11.55(0.12),16.477(0.005),16.021(0.004),21.63(0.06),21.44(0.06),-2.11(0.21) 
J104922.02+044424.4,162.34174,4.74012,0.123,11.05(0.18),16.782(0.006),16.350(0.005),21.34(0.06),21.05(0.05),-1.86(0.20) 
J104926.12+033924.7,162.35883,3.65687,0.150,11.89(0.11),15.722(0.004),15.271(0.003),20.34(0.03),19.95(0.03),-1.87(0.20) 
J104931.50+004435.0,162.38129,0.74305,0.106,11.26(0.18),16.281(0.005),15.833(0.004),20.40(0.03),20.35(0.03),-1.73(0.19) 
J104933.27-003650.8,162.38863,-0.61409,0.109,11.09(0.12),16.762(0.006),16.323(0.005),24.20(0.20),24.24(0.22),-3.06(0.22) 
J104935.55+010407.0,162.39815,1.06861,0.098,11.41(0.11),15.825(0.004),15.368(0.003),24.54(0.24),23.61(0.17),-3.38(0.22) 
J104941.38+003910.6,162.42242,0.65294,0.096,11.24(0.19),16.023(0.004),15.594(0.003),20.04(0.03),19.60(0.02),-1.62(0.19) 
J104956.51+043608.6,162.48548,4.60242,0.137,11.76(0.10),15.745(0.004),15.297(0.003),20.14(0.03),20.15(0.03),-1.85(0.20) 
